rollNo,fisrtName,lastName,gender,email
20bec4192,test1,test1,Male,test1@gmail.com
20bec4193,test2,test2,Female,test2@gmail.com
20bec4194,test3,test3,Male,test3@gmail.com
20bec4195,test4,test4,Female,test4@gmail.com
20bec4196,test5,test5,Male,test5@gmail.com
20bec4197,test6,test6,Female,test6@gmail.com
20bec4198,test7,test7,Male,test7@gmail.com
20bec4199,test8,test8,Female,test8@gmail.com
20bec4200,test9,test9,Male,test9@gmail.com
20bec4201,test10,test10,Female,test10@gmail.com
20bec4202,test11,test11,Male,test11@gmail.com
20bec4203,test12,test12,Female,test12@gmail.com
20bec4204,test13,test13,Male,test13@gmail.com
20bec4205,test14,test14,Female,test14@gmail.com
20bec4206,test15,test15,Male,test15@gmail.com
20bec4207,test16,test16,Female,test16@gmail.com
20bec4208,test17,test17,Male,test17@gmail.com
20bec4209,test18,test18,Female,test18@gmail.com
20bec4210,test19,test19,Male,test19@gmail.com
20bec4211,test20,test20,Female,test20@gmail.com
20bec4212,test21,test21,Male,test21@gmail.com
,,,,
